Well	Fluor	Target	Content	Sample	Biological Set Name	Cq	Cq Mean	Cq Std. Dev	Starting Quantity (SQ)	Log Starting Quantity	SQ Mean	SQ Std. Dev	Set Point	Well Note
L13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L18	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L19	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L20	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L21	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L22	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L23	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
L24	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M01	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M02	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M03	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M04	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M05	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M06	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M07	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M08	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M09	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M10	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M11	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M12	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M13	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M14	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M15	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M16	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
M17	SYBR		Unkn			NaN	0	0	NaN	NaN	NaN	0	55	
